ENDEKS;DATE;SESSION;LOW;HIGH;CLOSE;USD BASED;EURO BASED
XU100;09.04.2003;1;10308.82;10512.85;10368.5;367.96;401.09
XU100;09.04.2003;2;10348.77;10896.99;10886.18;386.34;421.12
XU100;10.04.2003;1;10460.95;10892.42;10514.76;371.02;403.26
XU100;10.04.2003;2;10156.28;10695.34;10629.66;375.07;407.66
XU100;11.04.2003;1;10546.76;10745.92;10632.96;377.2;411.01
XU100;11.04.2003;2;10512.46;10693.7;10565.92;374.82;408.42
XU100;14.04.2003;1;10565.92;10970.94;10970.94;393.23;428.99
XU100;14.04.2003;2;10913.64;11103.38;11103.38;397.98;434.17
XU100;15.04.2003;1;11103.38;11341.18;11289.52;407.99;444.34
XU100;15.04.2003;2;11123.29;11379.06;11169.03;403.63;439.6
XU100;16.04.2003;1;11100.15;11327.24;11229.93;406.47;439.67
XU100;16.04.2003;2;11198.29;11370.09;11366;411.4;444.99
XU100;17.04.2003;1;11307.34;11454.2;11408.3;414.72;444.98
XU100;17.04.2003;2;11135.61;11418.02;11219.24;407.85;437.61
XU100;18.04.2003;1;11173.43;11341.03;11229.9;409.08;440.42
XU100;18.04.2003;2;11200.11;11260.65;11254.04;409.96;441.37
XU100;21.04.2003;1;11254.04;11512.83;11512.83;421.94;453.84
XU100;21.04.2003;2;11426.92;11529.4;11504.66;421.64;453.52
XU100;22.04.2003;1;11429.77;11575.93;11495.49;420.97;450.41
XU100;22.04.2003;2;11366.41;11495.49;11405.17;417.67;446.87
XU100;24.04.2003;1;11209.18;11405.17;11285.17;413.02;439.37
XU100;24.04.2003;2;11066.85;11345.65;11119.61;406.96;432.93
XU100;25.04.2003;1;11095.37;11298.48;11282.02;414.11;441.45
XU100;25.04.2003;2;11260.76;11359.96;11341.38;416.29;443.77
XU100;28.04.2003;1;11341.38;11504.11;11405.73;419.96;446.02
XU100;28.04.2003;2;11268.4;11412.81;11311.13;416.47;442.32
XU100;29.04.2003;1;11232.82;11341.72;11268.01;414.66;442.96
XU100;29.04.2003;2;11242.9;11462.04;11436.18;420.84;449.57
XU100;30.04.2003;1;11436.18;11586.88;11565.12;429.7;452.72
XU100;30.04.2003;2;11442.35;11624.39;11509.95;427.65;450.56
XU100;01.05.2003;1;11469.9;11621.36;11470.57;431.26;452.42
XU100;01.05.2003;2;11410.23;11523.12;11467.63;431.15;452.3
XU100;02.05.2003;1;11359.84;11495.92;11383.03;432.34;451.04
XU100;02.05.2003;2;11248.63;11395.01;11300.73;429.22;447.78
XU100;05.05.2003;1;11248.48;11407.12;11290.79;430.42;449.55
XU100;05.05.2003;2;11095.45;11303.49;11112.14;423.61;442.44
XU100;06.05.2003;1;11044.03;11232.83;11072.05;421.98;436.27
XU100;06.05.2003;2;10838.5;11157.2;10962.94;417.82;431.97
XU100;07.05.2003;1;10715.67;10962.94;10730.07;409.63;420.94
XU100;07.05.2003;2;10608.65;10732.44;10676.29;407.58;418.83
XU100;08.05.2003;1;10676.29;10835.99;10797.21;415.92;428.8
XU100;08.05.2003;2;10686.73;10823.25;10783.86;415.41;428.27
XU100;09.05.2003;1;10674;10839.68;10687.87;415.72;423.75
XU100;09.05.2003;2;10576.35;10689.67;10640.41;413.88;421.87
XU100;12.05.2003;1;10621.5;10723.28;10664.34;416.35;420.98
XU100;12.05.2003;2;10638.75;10765.79;10712.87;418.24;422.9
XU100;13.05.2003;1;10706.43;10819.99;10708.29;419.1;426.56
XU100;13.05.2003;2;10521.89;10774.98;10590.69;414.5;421.88
XU100;14.05.2003;1;10441.35;10591.36;10488.67;412.84;420.84
XU100;14.05.2003;2;10352.62;10488.67;10393.31;409.08;417.01
XU100;15.05.2003;1;10264.02;10485.43;10266.13;403.7;412.56
XU100;15.05.2003;2;10167.68;10315.84;10229.41;402.25;411.09
XU100;16.05.2003;1;10229.41;10335;10300.16;402.58;412.57
XU100;16.05.2003;2;10222.46;10310;10306.25;402.82;412.82
XU100;20.05.2003;1;10184.39;10306.25;10260.34;407.56;410.46
XU100;20.05.2003;2;10249.43;10427;10427;414.18;417.13
XU100;21.05.2003;1;10416.35;10565.28;10428.87;416.45;416.94
XU100;21.05.2003;2;10384.87;10602.69;10540.85;420.92;421.42
XU100;22.05.2003;1;10540.85;10683.32;10625.06;420.75;422.01
XU100;22.05.2003;2;10603.5;10723.55;10695.19;423.53;424.8
XU100;23.05.2003;1;10694.8;10865.1;10852.76;434.11;431.89
XU100;23.05.2003;2;10843.91;11056.25;11056.25;442.24;439.99
XU100;26.05.2003;1;11014.68;11216.51;11196.73;448.91;445.37
XU100;26.05.2003;2;11017.2;11244.28;11125.34;446.05;442.53
XU100;27.05.2003;1;11012.17;11184.24;11093.23;445.7;439.14
XU100;27.05.2003;2;10975.55;11150.06;11088.85;445.52;438.96
XU100;28.05.2003;1;11088.85;11280.94;11212.37;452.63;450.78
XU100;28.05.2003;2;11200.8;11457.11;11437.4;461.72;459.83
XU100;29.05.2003;1;11374.4;11578.98;11543.45;468.54;468.02
XU100;29.05.2003;2;11368.73;11613.53;11407.09;463;462.49
XU100;30.05.2003;1;11334.63;11496.22;11400.69;467.6;462.98
XU100;30.05.2003;2;11315.05;11449.41;11381.42;466.81;462.19
XU100;02.06.2003;1;11379.99;11594.61;11534.57;474.56;476.06
XU100;02.06.2003;2;11471.78;11602.74;11579.26;476.4;477.9
XU100;03.06.2003;1;11386.08;11632.7;11451.43;466.46;465.46
XU100;03.06.2003;2;11223.02;11453.52;11346.5;462.18;461.2
XU100;04.06.2003;1;11170.96;11440.91;11260.22;461.9;462.1
XU100;04.06.2003;2;11036.96;11270.84;11084.67;454.7;454.89
XU100;05.06.2003;1;11083.68;11203.38;11094.76;449.74;450.47
XU100;05.06.2003;2;11003.89;11166.09;11129.74;451.16;451.89
XU100;06.06.2003;1;10998.38;11258.71;11081.62;453.48;449.15
XU100;06.06.2003;2;10928.72;11081.62;10973.38;449.05;444.76
XU100;09.06.2003;1;10741.65;10973.38;10763.22;444.88;445.03
XU100;09.06.2003;2;10652.75;10827.78;10827.78;447.55;447.7
XU100;10.06.2003;1;10827.62;10904.96;10859.48;445.95;446.25
XU100;10.06.2003;2;10629.66;10885.22;10644.74;437.13;437.42
XU100;11.06.2003;1;10484.33;10658.41;10535.44;432.88;432.62
XU100;11.06.2003;2;10441.09;10597.31;10597.31;435.42;435.16
XU100;12.06.2003;1;10434.15;10626.67;10443.51;430.87;429.47
XU100;12.06.2003;2;10396.32;10530.4;10489.19;432.75;431.35
XU100;13.06.2003;1;10473.83;10596.24;10537.47;435.63;433.56
XU100;13.06.2003;2;10523.19;10719.57;10713.85;442.93;440.82
XU100;16.06.2003;1;10659.43;10828.09;10828.09;446.88;440.83
XU100;16.06.2003;2;10809.58;11036.69;11036.69;455.49;449.32
XU100;17.06.2003;1;11036.69;11224.58;11164.11;461.87;457.88
XU100;17.06.2003;2;11089.9;11199.48;11169.2;462.08;458.09
XU100;18.06.2003;1;11020.61;11300.46;11259.72;465.3;464.62
XU100;18.06.2003;2;11031.44;11314.44;11107.52;459.01;458.34
XU100;19.06.2003;1;10966.72;11122.54;11082.43;454.69;457.66
XU100;19.06.2003;2;10858.8;11082.43;10902.53;447.31;450.23
XU100;20.06.2003;1;10885.87;10990.66;10968.52;452.91;454.5
XU100;20.06.2003;2;10745.16;10968.52;10783.91;445.29;446.85
XU100;23.06.2003;1;10717.42;10838.83;10746.03;439;445.54
XU100;23.06.2003;2;10683.87;10793.03;10747.5;439.06;445.6
XU100;24.06.2003;1;10710.17;10873.82;10849.62;441.78;447.85
XU100;24.06.2003;2;10714.54;10887.29;10756.82;438;444.02
XU100;25.06.2003;1;10661;10762.2;10667;433.83;440.97
XU100;25.06.2003;2;10650.99;10740.19;10740.19;436.8;444
XU100;26.06.2003;1;10740.19;10878.81;10878.81;443.96;453.47
XU100;26.06.2003;2;10811.34;10948.1;10927.8;445.95;455.51
XU100;27.06.2003;1;10922.15;11007.17;11000.96;450.59;462.42
XU100;27.06.2003;2;10934.22;11012.93;10981.24;449.78;461.59
XU100;30.06.2003;1;10884.73;10994.07;10904.67;451.11;462.39
XU100;30.06.2003;2;10814.57;10904.67;10884.43;450.27;461.53
XU100;01.07.2003;1;10810.5;10974.41;10836.52;449.84;456.61
XU100;01.07.2003;2;10682.42;10844.66;10749.83;446.24;452.96
XU100;02.07.2003;1;10686.77;10796.07;10742.48;447.76;454.74
XU100;02.07.2003;2;10636.74;10742.48;10690.94;445.61;452.56
XU100;03.07.2003;1;10602.66;10713.65;10702.29;447.98;457.86
XU100;03.07.2003;2;10669.21;10759.63;10726.55;448.99;458.9
XU100;04.07.2003;1;10596.32;10808.69;10596.32;444.53;454.18
XU100;04.07.2003;2;10429.11;10615.68;10502.88;440.61;450.18
